Time_ms,Amplitude_uV
0.0,-2.3794
0.5,2.2861
1.0,-2.5988
1.5,8.7272
2.0,7.7927
2.5,6.1949
3.0,7.1543
3.5,9.8216
4.0,8.7076
4.5,9.1992
5.0,12.1602
5.5,11.421
6.0,9.3182
6.5,8.6536
7.0,8.5729
7.5,5.229
8.0,4.6666
8.5,6.1847
9.0,2.6987
9.5,-2.5589
10.0,-1.4318
10.5,0.4055
11.0,-3.787
11.5,-4.9861
12.0,-3.9523
12.5,-1.5972
13.0,-10.2297
13.5,-4.8654
14.0,-13.2006
14.5,-9.352
15.0,-13.5086
15.5,-5.8225
16.0,-7.0088
16.5,-5.4969
17.0,-10.7468
17.5,-5.0174
18.0,-7.4349
18.5,-5.9121
19.0,-1.5706
19.5,1.0658
20.0,0.6133
20.5,-0.3196
21.0,0.6127
21.5,8.8729
22.0,7.6597
22.5,9.2303
23.0,14.6406
23.5,6.4625
24.0,17.1889
24.5,19.3296
25.0,14.8552
25.5,12.3582
26.0,7.5191
26.5,11.8935
27.0,6.7621
27.5,7.0061
28.0,5.0066
28.5,5.3914
29.0,6.9544
29.5,-0.1024
30.0,-2.9562
30.5,-4.5732
31.0,-5.995
31.5,-8.8332
32.0,-8.6167
32.5,-3.1913
33.0,-9.8701
33.5,-8.1387
34.0,-13.1612
34.5,-9.3679
35.0,-15.2223
35.5,-11.9732
36.0,-2.7469
36.5,-10.659
37.0,-4.7302
37.5,-5.7059
38.0,-6.3368
38.5,-6.4962
39.0,0.7706
39.5,-2.0965
40.0,4.5823
40.5,-0.5929
41.0,3.2622
41.5,5.9364
42.0,6.9973
42.5,3.3697
43.0,6.098
43.5,8.3221
44.0,6.9495
44.5,11.9089
45.0,11.7641
45.5,4.0056
46.0,4.0948
46.5,5.0653
47.0,8.4418
47.5,13.1703
48.0,4.7302
48.5,5.2907
49.0,-0.1014
49.5,-1.5805
50.0,-5.88
50.5,-1.6648
51.0,-0.2766
51.5,-5.6604
52.0,-1.7767
52.5,-6.629
53.0,-8.4543
53.5,-7.7785
54.0,-8.7273
54.5,-7.508
55.0,-14.0722
55.5,-19.273
