Time_ms,Amplitude_uV
0.0,-8.3923
0.5,-1.729
1.0,-2.1591
1.5,2.1013
2.0,-1.8055
2.5,3.0056
3.0,-0.7353
3.5,3.4631
4.0,8.9213
4.5,6.2861
5.0,3.8484
5.5,4.6449
6.0,-1.3918
6.5,-3.0045
7.0,-3.2997
7.5,0.873
8.0,5.9896
8.5,-2.8155
9.0,1.9827
9.5,-4.8748
10.0,-4.7454
10.5,3.5565
11.0,-2.6149
11.5,-2.7237
12.0,8.0458
12.5,0.4258
13.0,-0.0219
13.5,-0.7564
14.0,1.8294
14.5,-2.6573
15.0,0.4093
15.5,4.5328
16.0,-1.0906
16.5,-9.3174
17.0,-2.4156
17.5,3.2823
18.0,4.6996
18.5,1.6763
19.0,5.9377
19.5,-3.9245
20.0,5.3555
20.5,1.0851
21.0,2.9559
21.5,-11.1837
22.0,3.8339
22.5,1.2018
23.0,7.9093
23.5,1.0348
24.0,-3.6052
24.5,-2.919
25.0,1.9224
25.5,1.5372
26.0,-2.2246
26.5,-3.9541
27.0,6.3881
27.5,-0.6247
28.0,0.0619
28.5,-1.7914
29.0,5.9415
29.5,4.8158
30.0,-3.7266
30.5,0.0597
31.0,-3.3164
31.5,7.7954
32.0,2.1571
32.5,-0.7309
33.0,-0.954
33.5,2.5787
34.0,-0.5761
34.5,6.5846
35.0,-3.2848
35.5,-4.5126
36.0,6.0739
36.5,-1.2648
37.0,6.1235
37.5,3.9695
38.0,-4.9764
38.5,-1.976
39.0,0.6653
39.5,-0.4078
40.0,1.6915
40.5,-1.964
41.0,0.1523
41.5,4.5039
42.0,5.8356
42.5,-2.6502
43.0,-0.412
43.5,0.0147
44.0,-4.8717
44.5,4.2854
45.0,2.7978
45.5,2.6299
46.0,0.1081
46.5,4.0349
47.0,4.4106
47.5,5.1992
48.0,-0.1209
48.5,1.9548
49.0,-1.0032
49.5,-0.7494
50.0,4.4536
50.5,0.7218
51.0,-0.1359
51.5,2.8556
52.0,3.0601
52.5,-2.6724
53.0,-2.3074
53.5,3.0643
54.0,2.2463
54.5,-0.7714
55.0,4.777
55.5,-0.4704
56.0,-7.8565
56.5,-3.3567
57.0,-6.0947
57.5,4.3876
58.0,1.8534
58.5,0.3637
59.0,-9.2949
59.5,-5.8159
60.0,-0.3611
60.5,-6.6989
61.0,4.4009
61.5,0.4677
62.0,0.5947
62.5,1.2639
63.0,-1.8235
63.5,-1.5465
64.0,-4.0365
64.5,4.9056
65.0,7.9076
65.5,6.7563
66.0,7.6579
66.5,5.6434
67.0,10.7095
67.5,0.2209
68.0,6.2534
68.5,9.1884
69.0,11.55
69.5,16.9672
