Time_ms,Amplitude_uV
0,2.5029
1,8.6573
2,3.8222
3,-4.3209
4,-2.3747
5,3.4449
6,-0.1757
7,4.7699
8,-7.7689
9,8.4517
10,7.5399
11,-5.7928
12,-1.1839
13,-2.4145
14,-1.476
15,3.9834
16,-1.9454
17,-3.5562
18,3.0281
19,5.6249
20,-1.5526
21,1.4412
22,-5.5573
23,4.3173
24,9.5627
25,2.7456
26,0.0694
27,-8.0038
28,-0.9701
29,-8.089
30,3.5062
31,7.6375
32,6.0441
33,1.0047
34,2.3438
35,-2.4647
36,1.2536
37,1.2503
38,0.2418
39,-10.7215
40,1.3312
41,2.0861
42,-2.9159
43,1.9397
44,3.4873
45,-8.76
46,3.8203
47,-2.0764
48,-4.8117
49,0.5261
50,-3.423
51,-2.16
52,-4.4147
53,-3.0434
54,-5.2793
55,-2.7128
56,-4.8096
57,-6.0208
58,3.4471
59,-2.585
60,-5.6106
61,-10.6166
62,-34.124
63,-65.4331
64,-103.7425
65,-124.8177
66,-139.0241
67,-127.9683
68,-106.2491
69,-73.5558
70,-50.4832
71,-18.4183
72,-15.1281
73,-5.1878
74,1.1267
75,0.1878
76,-0.1204
77,2.4311
78,-6.3697
79,1.7218
80,7.4899
81,8.1001
82,-1.5236
83,10.3976
84,10.612
85,7.6631
86,9.7568
87,19.2162
88,30.8764
89,33.3322
90,34.535
91,46.8728
92,59.5417
93,64.2044
94,72.4472
95,86.2145
96,85.4294
97,105.1548
98,106.0992
99,118.6202
100,126.1888
101,128.0757
102,127.5905
103,129.1028
104,132.0407
105,119.0957
106,115.2685
107,113.0718
108,106.6415
109,94.004
110,82.1003
111,77.2733
112,62.9617
113,63.6955
114,51.964
115,46.2869
116,27.4052
117,23.1739
118,18.7275
119,10.2598
120,9.5904
121,12.7754
122,2.324
123,3.4989
124,9.5497
125,3.5928
126,3.6494
127,1.0813
128,-1.9856
129,-1.1656
130,1.2562
131,-2.3845
132,0.1525
133,-1.9617
134,-0.488
135,6.3273
136,2.3939
137,-5.559
138,-0.9512
139,7.4515
140,7.3668
141,-4.9929
142,1.664
143,-0.1289
144,-10.5846
145,1.0733
146,8.1049
147,-3.1139
148,-1.4024
149,3.8008
150,-2.0008
151,-1.9967
152,1.0127
153,-6.1127
154,1.9056
155,-5.6079
156,0.0772
157,3.2463
158,6.7068
159,-3.3527
160,0.8298
161,0.8829
162,-7.6054
163,-0.5348
164,0.8227
165,2.1328
166,8.0575
167,0.3506
168,-0.3449
169,-0.4481
170,-0.1719
171,1.8823
172,6.4001
173,-4.4353
174,-0.0061
175,-9.9771
176,-7.0181
177,0.5097
178,-8.8709
179,1.2143
180,5.1619
181,-3.7086
182,-3.1312
183,-0.1546
184,-2.3314
185,-0.4259
186,-3.0953
187,3.3613
188,1.0614
189,-0.4816
190,-9.473
191,-3.1107
192,-0.0444
193,2.6674
194,-2.9171
195,2.2662
196,3.2673
197,-2.6758
198,2.7772
199,-0.9513
200,-4.7564
201,-0.3992
202,5.1612
203,1.4041
204,-0.1211
205,3.2229
206,2.7196
207,0.6169
208,-7.7339
209,-10.5516
210,-6.8905
211,6.4717
212,2.5317
213,-6.6704
214,2.8402
215,-6.1161
216,0.3596
217,3.3373
218,-0.9341
219,2.8064
220,3.0737
221,-7.376
222,-0.8835
223,1.3886
224,-2.684
225,-6.1541
226,5.2669
227,0.3711
228,-3.0371
229,-4.3248
230,-0.9125
231,4.0689
232,-2.6718
233,1.3569
234,0.5546
235,-1.5204
236,-0.5651
237,-0.3399
238,-4.4095
239,-6.3505
240,2.2323
241,5.2422
242,1.7841
243,-3.9335
244,-0.3837
245,-2.6287
246,-6.0631
247,-4.5473
248,-2.7536
249,1.7007
250,-5.0018
251,4.096
252,-0.3213
253,4.3589
254,3.5458
255,0.375
256,0.094
257,0.8916
258,0.8601
259,2.5381
260,7.044
261,2.2603
262,6.0564
263,3.5605
264,-1.6666
265,1.7848
266,2.3585
267,3.2838
268,-1.7369
269,4.11
270,-2.5986
271,-0.9328
272,2.3668
273,0.4156
274,-3.6778
275,-5.37
276,-2.3267
277,-3.0521
278,8.2589
279,-4.4438
280,-5.9453
281,8.5037
282,-6.9544
283,-2.6479
284,1.6983
285,-0.2254
286,0.9567
287,5.8853
288,9.0458
289,0.5909
290,1.1636
291,-1.5301
292,-2.4554
293,-2.0949
294,0.5003
295,-2.3409
296,0.7426
297,-2.3145
298,-4.8188
299,-1.8846
