Time_ms,Amplitude_uV
0,4.4134
1,-5.1191
2,2.5926
3,-4.7983
4,4.2872
5,-6.2243
6,-2.8421
7,-2.4266
8,-8.4213
9,3.4111
10,-6.2055
11,-5.229
12,-2.2588
13,2.9769
14,-3.2534
15,7.9551
16,-0.0997
17,-1.1562
18,1.7944
19,-0.5247
20,-4.2308
21,-2.1995
22,0.667
23,6.3078
24,1.0538
25,1.9022
26,-8.9502
27,-1.071
28,-0.1117
29,7.0388
30,6.3754
31,0.4743
32,2.1122
33,-0.2782
34,-2.9223
35,0.0641
36,-1.5093
37,1.2905
38,2.7279
39,-0.8051
40,4.4579
41,-4.5247
42,0.0512
43,0.803
44,-7.3517
45,2.4919
46,2.8736
47,6.8885
48,-0.1792
49,2.4382
50,2.6174
51,-6.5415
52,1.2038
53,-5.7736
54,1.153
55,2.8906
56,0.9519
57,-8.8068
58,3.911
59,-4.2992
60,-9.3042
61,-30.0994
62,-49.4506
63,-63.0949
64,-91.6132
65,-100.1081
66,-92.3083
67,-67.4193
68,-54.1646
69,-28.5824
70,-16.7898
71,4.6465
72,2.6121
73,0.1649
74,1.3108
75,-0.1398
76,-0.5694
77,1.1022
78,9.675
79,2.4961
80,4.098
81,8.4189
82,15.7412
83,15.1219
84,13.2159
85,23.0413
86,29.3504
87,31.6744
88,43.0438
89,57.7764
90,66.2816
91,87.5022
92,95.8344
93,106.8346
94,122.8496
95,133.7328
96,148.2329
97,166.2473
98,173.4071
99,174.3085
100,182.3946
101,193.0828
102,186.1716
103,186.5458
104,186.4245
105,172.7884
106,162.0644
107,149.3354
108,141.7208
109,120.4246
110,103.8261
111,94.8298
112,87.4059
113,69.5909
114,62.7238
115,51.0794
116,32.6467
117,29.683
118,22.5518
119,17.6894
120,18.3104
121,15.662
122,10.3546
123,10.2578
124,1.4976
125,6.0878
126,-2.2213
127,0.0547
128,-3.9336
129,5.7202
130,-1.0982
131,3.5862
132,-4.7958
133,1.3371
134,3.6692
135,0.7716
136,1.1555
137,1.0106
138,0.1671
139,-1.0751
140,-2.9964
141,4.5465
142,0.4487
143,0.7135
144,1.7398
145,-4.6091
146,-5.0435
147,-4.9672
148,7.5943
149,-0.6846
150,3.2858
151,-6.9284
152,-1.1507
153,0.8123
154,-1.8735
155,4.8391
156,-0.9778
157,0.0849
158,4.9423
159,6.8903
160,1.7836
161,-1.3927
162,-0.7088
163,5.2683
164,-3.9067
165,-3.6667
166,-3.4783
167,4.4863
168,2.0399
169,-3.2872
170,-2.7108
171,0.2062
172,-1.8826
173,-4.0024
174,-3.1722
175,-0.621
176,-2.2916
177,0.0187
178,-1.3168
179,-2.7869
180,1.8763
181,2.0059
182,-7.8335
183,1.1629
184,-1.8014
185,-4.0173
186,3.0888
187,1.1046
188,2.3466
189,-2.1238
190,7.289
191,2.0952
192,-2.3945
193,7.7317
194,-3.3259
195,6.1392
196,-1.1742
197,-2.4642
198,-2.9488
199,-4.0931
200,-3.7426
201,1.4619
202,-0.3808
203,-6.6143
204,0.8075
205,-6.0496
206,2.0182
207,-1.9161
208,-0.9516
209,4.7576
210,-8.2935
211,8.9465
212,12.4426
213,4.4003
214,2.2895
215,-2.7886
216,4.405
217,-0.7756
218,-1.1755
219,-3.242
220,5.6562
221,3.4488
222,-5.817
223,-0.4193
224,-5.3054
225,3.7441
226,-3.6786
227,-0.2861
228,2.283
229,-0.8043
230,-5.0278
231,-1.8261
232,-5.4669
233,5.7898
234,3.762
235,-7.1466
236,-4.7122
237,9.0944
238,2.659
239,-1.2979
240,3.7554
241,1.4088
242,3.199
243,-1.5538
244,6.6394
245,1.0249
246,-4.8089
247,-0.1924
248,-1.3143
249,1.6093
250,1.1448
251,0.4596
252,-3.4317
253,0.8843
254,-2.3429
255,6.5962
256,-4.6656
257,-1.1384
258,-2.0805
259,-4.0634
260,1.6452
261,1.2389
262,0.7752
263,6.1744
264,-2.2953
265,1.865
266,0.3887
267,1.1337
268,-5.1898
269,-4.908
270,3.398
271,-4.7967
272,4.5079
273,6.2
274,-2.2996
275,1.4087
276,0.7723
277,6.1955
278,8.7016
279,3.3278
280,3.5917
281,5.1063
282,-3.809
283,-0.2208
284,3.6398
285,-1.9083
286,6.8291
287,-3.7452
288,-0.7195
289,0.4762
290,2.7549
291,-3.7423
292,-1.5632
293,1.4511
294,0.3243
295,2.2852
296,-3.4222
297,-4.6256
298,-11.7337
299,-5.6355
