Time_ms,Amplitude_uV
0,2.2485
1,2.2408
2,-2.4898
3,-0.0393
4,0.0022
5,0.2297
6,8.7309
7,-1.1354
8,-1.1674
9,-1.8323
10,4.144
11,-1.6514
12,-0.353
13,3.5223
14,3.0456
15,-3.8981
16,7.2598
17,1.1099
18,3.8033
19,1.324
20,6.8631
21,-1.3901
22,-2.4885
23,1.6526
24,5.5637
25,-0.0348
26,3.6475
27,6.2928
28,-5.6155
29,5.5851
30,4.6318
31,-1.8889
32,-0.1415
33,-1.8073
34,3.3886
35,-2.4056
36,2.673
37,5.6617
38,-6.9308
39,1.8234
40,-0.2011
41,-1.8872
42,1.8733
43,-0.4206
44,-6.1251
45,-2.3348
46,-0.0209
47,-2.9387
48,-5.3249
49,9.9639
50,5.8668
51,5.271
52,0.4966
53,-8.2575
54,-1.1044
55,2.1678
56,-1.879
57,-2.7274
58,0.0906
59,4.8078
60,-7.7958
61,-18.1252
62,-35.6011
63,-42.6896
64,-60.6574
65,-67.3046
66,-63.1099
67,-50.8583
68,-31.3541
69,-9.8546
70,-8.1184
71,-0.7721
72,-3.4282
73,1.9691
74,-4.5039
75,7.4593
76,0.0441
77,4.8713
78,4.3185
79,10.8255
80,9.2031
81,11.6903
82,5.7263
83,11.6293
84,16.4313
85,22.7868
86,30.6686
87,46.5762
88,53.1098
89,65.3195
90,74.9472
91,89.5787
92,103.6238
93,129.7633
94,142.5919
95,161.421
96,175.0409
97,184.5679
98,200.0697
99,201.3398
100,219.4441
101,220.1327
102,220.8928
103,217.0145
104,212.3668
105,199.3621
106,188.2876
107,171.2717
108,157.453
109,143.3155
110,128.9868
111,107.3904
112,87.4987
113,70.9132
114,63.9401
115,50.0876
116,44.9871
117,40.2562
118,23.1025
119,25.4114
120,20.109
121,7.4265
122,6.4707
123,8.8789
124,0.9843
125,-1.0757
126,5.2105
127,-0.9603
128,-1.6247
129,3.3205
130,0.9689
131,1.3996
132,6.209
133,5.658
134,-6.4686
135,4.1839
136,0.4888
137,1.7793
138,3.7946
139,7.7788
140,3.7274
141,0.0341
142,2.2516
143,-5.6391
144,2.6315
145,1.335
146,-4.3524
147,-5.2593
148,-4.9766
149,-2.9898
150,2.541
151,-0.4138
152,-2.4824
153,-0.8591
154,5.2515
155,-0.9743
156,-3.0427
157,8.9415
158,-3.1429
159,2.1218
160,3.7246
161,0.8008
162,-0.7024
163,5.2716
164,0.7017
165,2.7357
166,0.0183
167,6.7805
168,-3.3629
169,-4.7235
170,-3.1953
171,-0.2854
172,-0.8016
173,0.7093
174,-2.3733
175,2.087
176,-5.3348
177,-4.7249
178,-0.8789
179,-2.6156
180,-3.0488
181,-2.1586
182,-2.7068
183,1.2174
184,2.9527
185,5.0638
186,0.7627
187,-2.5972
188,-4.1091
189,-4.1133
190,-6.0828
191,2.4897
192,6.9137
193,-0.2434
194,1.1186
195,-8.5774
196,-0.1291
197,-2.3778
198,0.376
199,-3.0652
200,-2.7817
201,-3.2736
202,-2.4117
203,8.1173
204,2.8073
205,-5.5811
206,-0.7729
207,-1.3051
208,8.2403
209,-6.9728
210,2.6353
211,3.3911
212,8.5957
213,6.874
214,-0.4976
215,-6.1826
216,-3.8261
217,-2.5397
218,-0.6777
219,-2.5387
220,-5.1873
221,2.6079
222,0.6644
223,-1.434
224,-1.797
225,-2.3916
226,-3.9468
227,10.1469
228,-1.2139
229,-2.2563
230,6.1335
231,-1.29
232,1.3698
233,-3.8639
234,-1.4559
235,-7.1044
236,2.0589
237,8.3644
238,1.2127
239,1.6313
240,4.8958
241,4.8533
242,-3.2951
243,-2.8126
244,-1.1218
245,5.2529
246,-4.491
247,-2.0422
248,-0.7531
249,0.2923
250,1.0459
251,-1.3004
252,5.0686
253,-2.7915
254,8.4026
255,0.9908
256,2.9098
257,-4.7699
258,1.4871
259,-4.7785
260,-5.7055
261,3.2624
262,0.0939
263,-4.5124
264,-8.039
265,2.9786
266,0.1308
267,3.2464
268,3.8626
269,4.6299
270,-8.9973
271,-12.9505
272,2.6398
273,-7.5997
274,4.43
275,1.55
276,-0.1279
277,-0.3744
278,-6.497
279,-0.4901
280,-0.8538
281,1.3946
282,7.7957
283,-2.2576
284,2.5933
285,7.0676
286,-3.033
287,-3.6159
288,-3.2883
289,-4.8452
290,-6.89
291,2.3237
292,5.8889
293,2.2051
294,-2.3606
295,-2.58
296,0.9003
297,-3.0987
298,-0.7553
299,-2.2219
