Time_ms,Amplitude_uV
0,-0.2538
1,4.9969
2,7.952
3,-0.2135
4,-0.9566
5,4.2481
6,0.2339
7,3.2536
8,6.4056
9,2.2407
10,4.3532
11,-9.3218
12,4.1996
13,-0.6335
14,-3.7402
15,-0.5806
16,-4.7366
17,-4.6817
18,-8.1576
19,-2.5512
20,-5.4571
21,-3.1978
22,3.2377
23,0.2342
24,-5.1489
25,1.817
26,3.9861
27,0.1006
28,0.0522
29,-0.4582
30,-4.0738
31,4.1488
32,1.8312
33,-0.4049
34,-0.2764
35,-0.6823
36,5.8949
37,-1.2831
38,-6.9594
39,0.4338
40,3.4615
41,2.5668
42,-1.7011
43,-6.6919
44,8.2004
45,-4.1384
46,0.3718
47,-0.8379
48,-2.8544
49,-1.9769
50,-4.7433
51,-3.9467
52,-2.3746
53,-0.8563
54,9.4458
55,-4.3846
56,4.0834
57,-0.4677
58,-3.3692
59,-10.4756
60,-12.37
61,-31.4779
62,-51.8641
63,-86.6837
64,-129.9382
65,-146.8091
66,-156.9778
67,-137.4032
68,-102.0207
69,-67.5236
70,-31.8473
71,-10.2794
72,-5.981
73,1.4354
74,6.9818
75,2.6628
76,-0.8431
77,4.9517
78,0.7067
79,-0.5834
80,-5.6236
81,0.7792
82,-3.2075
83,1.2864
84,-8.171
85,-4.3271
86,6.5643
87,8.0134
88,2.872
89,3.1252
90,-6.58
91,5.8479
92,2.7256
93,-1.3569
94,5.8748
95,8.8623
96,19.8859
97,22.7607
98,37.4055
99,40.3504
100,42.1617
101,52.4013
102,54.2274
103,72.2206
104,77.2213
105,89.0983
106,99.3061
107,106.9506
108,112.8752
109,124.0143
110,128.9529
111,118.5731
112,127.3508
113,128.0708
114,123.4667
115,121.6692
116,118.0527
117,107.3814
118,97.3788
119,92.7973
120,80.3469
121,70.2849
122,68.0696
123,55.1186
124,38.3562
125,40.4235
126,25.4054
127,23.551
128,10.2808
129,17.8825
130,3.4239
131,9.6639
132,14.358
133,6.6757
134,3.1109
135,-2.0606
136,0.1034
137,4.4415
138,-9.0516
139,-4.2929
140,4.9867
141,-2.1032
142,4.2808
143,2.2098
144,-4.0995
145,-1.0809
146,5.263
147,-1.8188
148,-0.6211
149,1.7478
150,-2.7247
151,-1.617
152,1.6234
153,-1.2253
154,-0.4398
155,2.2755
156,7.1215
157,-0.4847
158,-2.6017
159,11.9574
160,3.9316
161,-7.8141
162,-1.9656
163,-6.6975
164,3.1613
165,-4.724
166,-1.8883
167,6.929
168,-2.5526
169,0.1487
170,1.6273
171,4.3213
172,4.4956
173,6.3336
174,-2.5293
175,1.9792
176,-6.9865
177,0.0612
178,-0.7516
179,7.2587
180,1.3049
181,-1.5273
182,-1.5559
183,-3.7877
184,-2.1354
185,-2.9635
186,-0.2052
187,-2.5688
188,-0.0846
189,4.0779
190,-4.8617
191,-3.3603
192,-5.4828
193,8.1788
194,6.6904
195,1.8882
196,0.0423
197,-4.0664
198,3.9708
199,0.2279
200,1.5652
201,0.2348
202,-11.9298
203,-6.9795
204,-2.286
205,2.0301
206,-4.2804
207,0.5808
208,-1.5976
209,-4.6962
210,2.467
211,-4.8019
212,-5.3659
213,6.7643
214,5.893
215,0.9626
216,4.7274
217,-2.7573
218,-1.0235
219,1.6375
220,1.6659
221,2.4738
222,-5.2594
223,4.1188
224,-4.3709
225,-0.0751
226,10.9431
227,4.3436
228,-1.831
229,1.6548
230,-2.772
231,-2.5233
232,-3.1244
233,-1.1556
234,0.2883
235,2.9434
236,9.3008
237,2.3094
238,1.5015
239,-4.3129
240,5.6585
241,0.9592
242,6.9077
243,0.8239
244,7.3854
245,-1.8582
246,-1.0423
247,-0.3756
248,-0.6721
249,1.6947
250,1.1363
251,-7.8522
252,-4.5343
253,-3.2572
254,2.3241
255,-1.4505
256,2.7211
257,2.5541
258,0.7779
259,-8.265
260,7.9822
261,2.1462
262,-1.8297
263,1.8382
264,-1.4045
265,0.9038
266,-2.6941
267,9.3267
268,-0.36
269,2.5877
270,-1.874
271,4.3013
272,6.8988
273,2.0207
274,-2.0831
275,2.2464
276,0.5635
277,4.7104
278,2.4011
279,2.651
280,0.4881
281,0.1784
282,1.2514
283,6.3029
284,0.9458
285,3.3641
286,-0.9907
287,-0.5247
288,-4.1639
289,-0.1804
290,-2.2117
291,-8.6668
292,-3.504
293,-6.0163
294,-1.1972
295,-1.7401
296,5.013
297,0.3921
298,-2.5052
299,-1.9324
