Time_ms,Amplitude_uV
0,3.5305
1,1.297
2,1.9685
3,-0.675
4,3.8301
5,-6.099
6,4.5193
7,-1.1433
8,-0.7347
9,-4.2499
10,-6.5188
11,-1.858
12,2.8254
13,1.1612
14,3.413
15,-0.9303
16,0.8033
17,-0.6035
18,-4.3164
19,-0.4161
20,-1.8471
21,3.1016
22,-0.8854
23,-0.2154
24,2.0884
25,3.6123
26,-0.5224
27,-0.591
28,0.6156
29,3.9829
30,-3.7549
31,-4.4291
32,11.497
33,-0.6207
34,0.361
35,-8.2945
36,-1.8318
37,-0.6215
38,-2.4304
39,-1.7946
40,-0.8057
41,1.1678
42,3.5833
43,-5.0287
44,-5.1594
45,2.0302
46,0.5852
47,-3.4951
48,-5.6192
49,-3.2581
50,-0.1242
51,2.2885
52,3.8612
53,2.7566
54,-4.1351
55,6.7753
56,2.3385
57,-1.6325
58,-4.2462
59,-6.312
60,-25.4757
61,-50.0605
62,-84.9034
63,-121.5195
64,-167.3382
65,-171.1931
66,-169.9115
67,-130.8173
68,-84.6672
69,-44.8816
70,-28.8843
71,-5.9738
72,1.3818
73,-2.5291
74,-0.8612
75,0.1685
76,-6.0093
77,12.1273
78,5.6375
79,0.0154
80,9.7195
81,12.2496
82,13.566
83,19.798
84,29.276
85,31.3862
86,38.9972
87,61.058
88,68.9662
89,80.9531
90,106.0766
91,109.4137
92,133.8989
93,161.7343
94,181.2326
95,202.4127
96,218.836
97,236.3846
98,252.179
99,265.1114
100,277.71
101,283.3989
102,281.6716
103,280.6061
104,259.8009
105,253.7791
106,234.7377
107,227.9833
108,200.2092
109,182.7566
110,159.9585
111,135.2202
112,114.6041
113,101.5484
114,85.4852
115,65.4369
116,61.14
117,43.0438
118,36.6995
119,26.9119
120,23.1088
121,8.2439
122,16.3367
123,10.8225
124,8.5085
125,8.7367
126,5.0475
127,-4.1063
128,-1.1481
129,-3.9168
130,-1.8054
131,2.4423
132,5.8886
133,-5.8921
134,-4.8649
135,-0.2104
136,1.7632
137,0.6583
138,-2.6177
139,1.2458
140,0.994
141,-3.3793
142,4.6234
143,-6.284
144,-0.2952
145,-0.4518
146,1.2238
147,3.565
148,-2.2843
149,-0.7409
150,2.0183
151,6.2628
152,-2.826
153,2.4732
154,0.5901
155,-3.7245
156,1.9051
157,-4.0159
158,-0.1212
159,0.5524
160,8.5436
161,-3.6755
162,2.7273
163,1.031
164,-0.477
165,-1.425
166,5.6645
167,-2.3814
168,3.1993
169,-0.7922
170,2.7043
171,3.2631
172,-6.1127
173,-3.7416
174,-0.3317
175,0.3938
176,-5.5269
177,1.7173
178,3.777
179,-0.2619
180,0.6007
181,-4.8369
182,4.3462
183,7.3163
184,11.0306
185,0.7031
186,7.46
187,-2.1381
188,1.6554
189,0.449
190,-6.0531
191,-2.5215
192,-0.0264
193,-0.0474
194,-1.8129
195,-0.1826
196,3.3961
197,4.3407
198,-9.0419
199,-2.1506
200,0.0235
201,-9.5411
202,1.6503
203,5.1023
204,-5.5105
205,-9.2778
206,-2.2949
207,5.2358
208,10.887
209,1.5898
210,0.0752
211,-3.46
212,2.8613
213,-2.9846
214,0.5544
215,4.4114
216,0.5417
217,-3.9405
218,1.5451
219,4.7261
220,4.9891
221,-6.4374
222,1.9432
223,2.0604
224,-0.9323
225,-4.2763
226,-2.7815
227,-3.1199
228,8.6386
229,1.3592
230,-0.7294
231,1.9178
232,5.9549
233,0.1727
234,3.8605
235,3.1555
236,-1.3559
237,6.7471
238,1.6636
239,5.1132
240,6.101
241,-1.1984
242,-2.6561
243,-1.9207
244,9.3551
245,0.7203
246,-0.9189
247,6.7843
248,-2.2451
249,8.1202
250,-2.1416
251,1.9077
252,0.8876
253,1.9227
254,4.298
255,3.5571
256,-4.2971
257,-3.6572
258,0.1256
259,3.4875
260,-1.002
261,-1.9956
262,-7.0402
263,2.466
264,1.1983
265,-3.6965
266,-0.9811
267,6.1487
268,-2.0707
269,-2.5821
270,3.0411
271,-7.0569
272,-1.2127
273,-0.6594
274,-2.8749
275,-1.426
276,-1.1581
277,0.6894
278,-0.7382
279,2.839
280,3.2923
281,0.0289
282,-1.0165
283,-8.8407
284,3.9762
285,0.9725
286,0.8742
287,4.187
288,-2.4345
289,-2.7721
290,2.6126
291,-13.8575
292,3.2184
293,0.7684
294,-5.4949
295,-3.548
296,3.9607
297,-3.2086
298,2.9603
299,1.1802
