Time_ms,Amplitude_uV
0,1.139
1,-5.6628
2,-0.1325
3,5.3374
4,-4.5103
5,1.7978
6,-1.776
7,4.7622
8,-1.3309
9,-1.8218
10,5.1205
11,3.9556
12,-0.9998
13,-5.9835
14,-4.9866
15,1.4355
16,1.4992
17,-4.2968
18,3.8724
19,1.7052
20,-1.5335
21,-0.3549
22,0.6393
23,-1.7268
24,2.1823
25,-0.4647
26,-0.4265
27,2.8906
28,1.4492
29,-4.4975
30,0.0701
31,-3.204
32,0.5697
33,1.3977
34,-4.1561
35,3.0334
36,5.5625
37,1.24
38,-3.4203
39,-0.4404
40,0.9698
41,1.5378
42,1.7452
43,-2.1496
44,-1.4682
45,2.3199
46,9.1279
47,0.953
48,0.0728
49,1.9985
50,5.3197
51,0.3725
52,-7.6385
53,-1.5124
54,-2.0598
55,-3.1728
56,-4.1963
57,-3.0765
58,7.1674
59,0.5222
60,-3.748
61,-13.8677
62,-20.0881
63,-29.2543
64,-42.3495
65,-49.6183
66,-44.039
67,-37.5774
68,-28.7336
69,-23.6502
70,-9.6285
71,-7.9312
72,-3.9287
73,-1.071
74,0.9245
75,3.1717
76,-6.9421
77,2.7188
78,-0.9563
79,1.212
80,-0.8193
81,7.6453
82,3.9647
83,8.0223
84,4.8813
85,12.8394
86,13.2866
87,13.6642
88,19.7674
89,23.3043
90,28.1535
91,40.8531
92,44.0998
93,48.9351
94,52.5284
95,67.5928
96,71.1841
97,76.785
98,80.966
99,92.8121
100,95.312
101,92.7775
102,93.0383
103,92.6335
104,91.2134
105,88.0621
106,79.0712
107,75.6239
108,71.2555
109,67.5881
110,58.9208
111,50.5191
112,40.592
113,37.6541
114,32.9379
115,27.8696
116,24.1589
117,15.0664
118,10.661
119,12.8374
120,5.7732
121,7.1319
122,3.9375
123,-1.9156
124,1.8438
125,0.4682
126,-0.4359
127,-1.1118
128,-3.9338
129,-1.8987
130,-1.8424
131,2.614
132,-1.2142
133,0.2562
134,4.6342
135,-6.2236
136,2.7692
137,0.1999
138,-1.6108
139,-4.1684
140,2.8893
141,0.6803
142,-1.4162
143,-3.6514
144,2.9198
145,4.5529
146,-2.923
147,-0.3006
148,0.9532
149,2.6046
150,-1.2467
151,6.2168
152,-0.1554
153,-0.9962
154,-2.455
155,-3.4075
156,2.1927
157,0.2098
158,-2.3791
159,-3.0125
160,2.9928
161,3.532
162,1.9669
163,0.5868
164,-1.6137
165,3.2306
166,4.0751
167,0.8482
168,-0.4664
169,5.3332
170,-2.0863
171,1.6179
172,6.6296
173,0.6551
174,-0.2377
175,-6.3297
176,-2.4108
177,-0.1183
178,6.0144
179,-3.4476
180,7.2241
181,0.4598
182,-0.3607
183,1.7245
184,-3.5009
185,1.8614
186,5.3097
187,-5.5937
188,-2.4373
189,-3.5994
190,0.7775
191,0.6927
192,6.008
193,-3.0724
194,3.8455
195,-1.2239
196,1.5969
197,-0.1195
198,2.2297
199,-2.4762
200,3.2429
201,2.3813
202,-4.7048
203,-1.2571
204,0.6801
205,-3.6043
206,-3.7613
207,-2.2535
208,0.7873
209,1.2884
210,-2.8555
211,1.5014
212,-6.0604
213,6.628
214,-1.0772
215,4.6101
216,-0.9969
217,-0.7539
218,1.7414
219,1.3589
220,-4.4075
221,-1.3425
222,-0.1223
223,-0.8449
224,-0.8167
225,-1.2234
226,-0.9821
227,1.7707
228,-0.1011
229,-0.5967
230,-2.2864
231,3.8523
232,-0.6537
233,4.917
234,-0.5745
235,-2.8039
236,-0.5315
237,-0.7835
238,-0.7357
239,-0.1114
240,-0.2674
241,3.7744
242,-2.5531
243,-2.9523
244,-2.9014
245,3.8267
246,-0.5469
247,0.6083
248,4.2385
249,0.4361
250,-4.0012
251,1.3353
252,3.3178
253,6.5354
254,4.6185
255,0.4185
256,0.5429
257,0.4603
258,-1.1546
259,4.4096
260,-0.673
261,-1.1425
262,-3.7654
263,-4.863
264,-0.8992
265,1.6688
266,-2.9633
267,-1.5971
268,-4.0436
269,-3.3787
270,-2.747
271,2.7184
272,6.6324
273,3.4811
274,0.6804
275,-1.8888
276,3.3386
277,-2.9315
278,-4.2633
279,3.4929
280,-4.1251
281,3.0352
282,-0.2431
283,2.6142
284,-5.12
285,1.5155
286,1.3646
287,1.8671
288,-4.245
289,-1.3875
290,-5.0418
291,4.2106
292,-0.5378
293,-0.8281
294,2.6271
295,-1.6543
296,0.1126
297,-1.4082
298,1.7755
299,-7.0812
