Time_ms,Amplitude_uV
0,11.6993
1,0.2055
2,8.0534
3,-4.7488
4,2.7162
5,4.3664
6,-7.6372
7,-0.9607
8,2.786
9,10.0499
10,-1.3755
11,3.7415
12,-2.3584
13,4.0808
14,10.1213
15,6.1549
16,-6.1466
17,-4.7747
18,-6.0668
19,-1.8789
20,-5.6716
21,8.7013
22,1.0827
23,9.9361
24,0.3412
25,1.0366
26,-0.1651
27,1.7352
28,2.3309
29,1.8438
30,-2.0553
31,-4.3532
32,1.0292
33,4.2689
34,2.8497
35,-4.0566
36,4.5373
37,-1.4192
38,-6.818
39,0.3519
40,-5.7181
41,5.4745
42,1.1616
43,-3.1901
44,-1.9862
45,0.093
46,-1.8011
47,-3.1699
48,8.2341
49,-1.6445
50,-2.2658
51,-7.9508
52,2.4898
53,1.8578
54,2.9419
55,-3.4856
56,6.4451
57,-3.8305
58,-4.1314
59,-0.2226
60,-0.4208
61,3.3509
62,11.2032
63,1.5863
64,6.8761
65,3.7906
66,-1.9006
67,-6.1933
68,-0.3882
69,-4.6682
70,-3.1755
71,1.1746
72,-1.7473
73,3.7604
74,-8.0952
75,-4.9635
76,10.9552
77,3.8461
78,1.3872
79,3.0336
80,-5.4061
81,-4.8202
82,3.6127
83,-8.6302
84,2.2354
85,-9.166
86,5.3577
87,2.0431
88,-0.881
89,1.5415
90,1.0671
91,-3.9961
92,-5.755
93,-1.2608
94,1.8952
95,-4.2104
96,0.5106
97,7.7596
98,-0.6179
99,-0.7471
100,-6.8339
101,6.0645
102,-0.8011
103,-1.6057
104,-4.9906
105,4.6613
106,0.4271
107,2.0965
108,-0.273
109,-3.5205
110,2.9752
111,4.3815
112,0.6492
113,2.1206
114,7.1061
115,8.6051
116,20.1029
117,27.5201
118,22.7604
119,28.1576
120,43.5998
121,50.8297
122,60.6524
123,72.3701
124,89.7825
125,101.9949
126,117.3023
127,134.2301
128,136.159
129,161.9142
130,174.9283
131,184.7599
132,191.6123
133,193.4371
134,194.6683
135,202.1138
136,193.6733
137,200.0523
138,187.5787
139,173.2674
140,165.4426
141,148.026
142,130.3645
143,122.1497
144,102.2464
145,86.9784
146,75.1749
147,62.4717
148,52.2082
149,38.255
150,30.8574
151,27.4601
152,20.2074
153,16.7797
154,6.0823
155,7.2981
156,3.763
157,5.2015
158,6.4528
159,1.1726
160,2.8004
161,2.374
162,3.9587
163,1.9167
164,0.5964
165,-0.4557
166,0.6202
167,6.9471
168,7.7605
169,2.8949
170,-1.6842
171,1.3712
172,3.8728
173,-6.5278
174,-1.08
175,7.7732
176,0.8584
177,-4.1772
178,-1.5975
179,-7.648
180,-1.2701
181,-1.6415
182,-1.3201
183,-1.3093
184,-1.3183
185,3.2317
186,0.6075
187,-2.1178
188,-0.3563
189,-8.1761
190,-1.1356
191,8.0901
192,5.5934
193,2.8135
194,-3.3242
195,0.3328
196,9.8941
197,0.5277
198,0.3524
199,5.3519
200,7.543
201,4.0416
202,7.3259
203,-1.8097
204,7.1135
205,0.3978
206,3.635
207,-5.9086
208,3.0246
209,0.0428
210,2.6748
211,-2.6536
212,-5.6137
213,-0.6064
214,3.5453
215,-0.3784
216,-1.754
217,-1.3569
218,6.0473
219,-0.2892
220,-4.846
221,6.2931
222,0.645
223,2.523
224,-5.7761
225,-0.0837
226,2.5157
227,4.4983
228,3.1204
229,6.1306
230,1.9372
231,-0.9992
232,-5.3734
233,6.4971
234,3.0836
235,11.3441
236,9.0425
237,-1.5684
238,4.7465
239,4.6855
240,5.1446
241,-3.2483
242,-0.5672
243,-0.6851
244,5.7696
245,1.1801
246,-2.9696
247,-3.1219
248,-0.067
249,-5.0026
250,-3.5118
251,0.0921
252,4.53
253,1.583
254,0.5759
255,-4.0672
256,-3.4527
257,-7.206
258,1.8246
259,0.6009
260,-1.7554
261,10.3396
262,-0.0922
263,5.961
264,1.0337
265,2.709
266,-4.1219
267,1.3301
268,4.0232
269,-8.3888
270,6.4123
271,-3.3759
272,-0.3447
273,-1.2761
274,4.7216
275,2.9578
276,-2.0698
277,-1.6852
278,2.2894
279,-1.7357
280,-2.2475
281,-1.3785
282,4.7562
283,-5.3441
284,-5.2941
285,1.9484
286,-2.2658
287,-5.5419
288,2.9611
289,-2.4378
290,-3.9126
291,-5.0452
292,6.157
293,-0.5737
294,6.7747
295,2.8939
296,-2.6584
297,6.3683
298,0.4785
299,3.8757
