Time_ms,Amplitude_uV
0,2.4994
1,3.3534
2,0.0024
3,-3.7941
4,2.2512
5,1.1687
6,-0.705
7,-0.1575
8,-0.6762
9,0.9111
10,0.7088
11,-2.6393
12,0.1977
13,-1.9716
14,-3.7209
15,-0.2375
16,2.7333
17,1.0898
18,1.2139
19,4.2261
20,1.8302
21,0.4098
22,-0.3446
23,4.4164
24,-1.1645
25,-1.069
26,2.4517
27,3.064
28,-2.8075
29,2.2413
30,0.0688
31,0.7736
32,-0.539
33,0.157
34,4.2055
35,2.0406
36,-1.5113
37,-0.6753
38,-2.7847
39,-5.2697
40,-1.5067
41,2.6082
42,2.0442
43,-2.3643
44,6.9946
45,3.0707
46,-1.4881
47,0.5177
48,0.7314
49,-0.4058
50,4.9627
51,5.7292
52,0.9496
53,2.6421
54,2.8308
55,1.3699
56,-0.4219
57,0.1886
58,6.0354
59,7.1603
60,8.733
61,11.4003
62,14.6477
63,16.1718
64,16.0375
65,19.7147
66,33.1483
67,35.216
68,36.5188
69,43.4535
70,52.2616
71,60.331
72,63.9119
73,65.6512
74,68.6308
75,66.5391
76,71.4295
77,69.1612
78,69.9263
79,62.8248
80,65.688
81,58.9867
82,58.3406
83,46.3858
84,47.3299
85,40.5696
86,32.8908
87,30.5959
88,22.6632
89,24.1483
90,12.0156
91,20.793
92,7.6488
93,3.5576
94,0.3802
95,5.6029
96,1.9528
97,-1.0109
98,-1.8136
99,-3.64
100,1.6863
101,0.9555
102,0.7479
103,-4.8681
104,0.5179
105,-2.4297
106,-0.7195
107,-3.0841
108,0.6941
109,2.8261
110,-0.8523
111,0.3869
112,-0.71
113,-3.4059
114,0.3173
115,-3.0648
116,-0.1427
117,1.6044
118,3.8047
119,-2.7581
120,2.5746
121,4.6868
122,0.499
123,0.842
124,1.6434
125,1.6418
126,-0.5208
127,1.6789
128,-7.9334
129,-3.6816
130,-0.4544
131,2.9939
132,-3.5493
133,-3.762
134,-2.541
135,1.7357
136,-3.1002
137,1.7535
138,5.1017
139,0.7593
140,4.0769
141,2.7144
142,4.9652
143,-1.3199
144,-2.4036
145,2.8718
146,5.1591
147,-1.4883
148,2.2638
149,-2.5785
150,-0.8608
151,-4.8606
152,-1.1887
153,-2.8316
154,3.8627
155,-0.1095
156,3.37
157,5.4277
158,-4.9759
159,5.3066
160,0.5644
161,1.0842
162,-1.3397
163,-5.2405
164,-3.2125
165,-1.0565
166,-4.3822
167,0.0848
168,2.1057
169,-2.7443
170,-1.6386
171,2.6794
172,-4.3917
173,1.8182
174,-4.8687
175,3.1439
176,-0.2884
177,-1.9059
178,-0.6237
179,5.4128
180,-4.0071
181,-3.7373
182,2.7652
183,2.6502
184,-0.8148
185,2.2317
186,-0.2124
187,1.9112
188,-0.0662
189,0.6463
190,0.6177
191,-1.4478
192,-0.0357
193,1.4952
194,0.3825
195,-3.7492
196,0.846
197,6.8551
198,2.707
199,1.4644
200,-0.8722
201,-4.3434
202,-1.0444
203,-3.3931
204,0.5882
205,-5.5573
206,-0.0856
207,-2.3518
208,0.1895
209,-1.5776
210,1.5256
211,-6.7985
212,-1.5066
213,0.317
214,3.3391
215,-1.0553
216,-2.1531
217,-1.6513
218,0.9485
219,-0.7286
220,-3.8617
221,-2.4973
222,-3.5875
223,-1.5129
224,-0.977
225,2.5105
226,-0.0914
227,-3.5022
228,-0.8831
229,-2.9954
230,-1.8516
231,-1.3156
232,-0.3526
233,-1.5148
234,0.4688
235,2.9366
236,3.5468
237,5.0655
238,-1.5455
239,-2.2354
240,-1.963
241,0.9161
242,-1.7828
243,-0.6582
244,-4.4213
245,-1.405
246,3.4725
247,-4.4415
248,-2.7241
249,-1.081
250,1.2339
251,-2.4344
252,2.5284
253,3.5616
254,3.8824
255,1.1627
256,-0.2707
257,-3.0377
258,-0.312
259,0.4002
260,-6.536
261,0.2705
262,0.5286
263,1.4942
264,6.581
265,0.532
266,1.1355
267,2.6499
268,-0.4508
269,0.3202
270,-5.5036
271,-3.3705
272,-1.5617
273,-5.7122
274,2.39
275,1.4548
276,1.5503
277,-0.4194
278,-8.3933
279,2.0244
280,-0.491
281,5.465
282,2.3243
283,-4.4934
284,-5.8065
285,-1.0466
286,-0.6298
287,0.1245
288,5.0847
289,5.3974
290,2.2899
291,1.3393
292,-0.5017
293,2.1194
294,-5.6641
295,2.537
296,-0.1369
297,5.0293
298,-6.1109
299,2.3829
