Time_ms,Amplitude_uV
0,1.2189
1,2.0204
2,14.7575
3,19.9426
4,11.217
5,14.7913
6,19.5325
7,14.9154
8,11.6885
9,2.7682
10,3.5176
11,-3.0692
12,-11.4916
13,-11.6714
14,-17.1511
15,-23.4372
16,-17.5461
17,-20.0159
18,-8.2419
19,-6.38
20,-0.7394
21,3.4566
22,16.6459
23,15.5622
24,17.3078
25,18.5915
26,21.1504
27,17.6421
28,13.4066
29,7.9036
30,8.5666
31,-7.806
32,-13.8047
33,-19.4354
34,-16.5572
35,-15.4841
36,-19.4769
37,-19.541
38,-15.0536
39,-3.578
40,2.973
41,8.353
42,9.0937
43,17.109
44,19.4879
45,20.8748
46,22.5068
47,17.0747
48,14.4714
49,6.4507
50,1.1565
51,-3.6552
52,-17.5845
53,-17.4605
54,-20.912
55,-22.6058
56,-20.3518
57,-11.0969
58,-18.1951
59,-10.7273
60,-27.0316
61,-36.8644
62,-60.6054
63,-90.3957
64,-116.5989
65,-126.8221
66,-120.8333
67,-94.5777
68,-57.8018
69,-36.2513
70,-25.3384
71,-19.0288
72,-18.242
73,-14.8244
74,-18.273
75,-16.6656
76,-19.8046
77,-14.1659
78,-7.2431
79,-4.5379
80,5.8884
81,9.1712
82,18.0105
83,25.0243
84,27.977
85,39.8672
86,40.1524
87,45.3163
88,49.8767
89,52.3172
90,56.1588
91,56.9552
92,60.8246
93,68.9891
94,71.1005
95,82.2789
96,94.3768
97,108.1638
98,126.4533
99,133.3637
100,146.1979
101,161.4139
102,160.3673
103,166.841
104,158.4527
105,155.7882
106,143.5542
107,133.513
108,123.1843
109,96.142
110,87.226
111,69.0441
112,49.3972
113,31.5327
114,25.6181
115,14.0801
116,10.9955
117,6.9159
118,12.5707
119,6.6015
120,6.2769
121,14.6044
122,18.2743
123,25.6784
124,25.2415
125,23.438
126,26.2561
127,12.3603
128,9.8195
129,2.8825
130,-1.2955
131,-11.5195
132,-9.1102
133,-17.0046
134,-24.8652
135,-24.0389
136,-17.7533
137,-12.8199
138,-3.7642
139,5.4777
140,1.659
141,2.223
142,3.2279
143,17.2514
144,15.7695
145,18.3386
146,16.5728
147,15.6172
148,16.0196
149,6.8085
150,-0.6345
151,-10.323
152,-18.4544
153,-18.1256
154,-19.2363
155,-12.9283
156,-18.5
157,-12.2494
158,-13.7529
159,-10.9201
160,-3.8605
161,3.2794
162,20.2696
163,12.8948
164,22.3751
165,16.3883
166,22.7474
167,17.7201
168,11.1292
169,6.0173
170,-2.6192
171,-4.3961
172,-13.5756
173,-21.0828
174,-24.1329
175,-19.3096
176,-12.7048
177,-15.5404
178,-12.2303
179,-5.037
180,5.224
181,7.0579
182,10.112
183,20.6055
184,20.7362
185,26.143
186,19.7541
187,11.2825
188,6.2831
189,12.7841
190,6.8947
191,-6.8984
192,-13.2885
193,-10.3346
194,-23.4493
195,-23.5789
196,-16.4478
197,-17.7588
198,-11.7762
199,-6.8341
200,1.3503
201,11.8103
202,12.118
203,18.7561
204,10.8204
205,19.8051
206,15.6482
207,11.3051
208,8.2431
209,4.8438
210,3.6636
211,-11.4859
212,-11.6332
213,-18.117
214,-20.3318
215,-15.989
216,-16.8687
217,-10.8307
218,-12.3737
219,-8.9641
220,-0.8954
221,7.1503
222,12.462
223,11.8428
224,19.3831
225,20.9129
226,29.091
227,23.6877
228,8.3427
229,5.0308
230,-5.8538
231,-8.5432
232,-10.4933
233,-11.3569
234,-21.9375
235,-22.6166
236,-27.6103
237,-16.831
238,-16.0054
239,-8.2981
240,-3.5074
241,5.8033
242,4.7248
243,10.3122
244,27.5381
245,14.8503
246,14.634
247,23.528
248,23.376
249,1.4941
250,-1.473
251,-4.8141
252,-4.8409
253,-20.1278
254,-20.0022
255,-16.8906
256,-17.2821
257,-17.685
258,-12.291
259,-11.6799
260,-0.9527
261,5.1148
262,12.6844
263,13.959
264,20.9073
265,24.0509
266,19.6428
267,17.5874
268,11.9683
269,6.1807
270,-2.8862
271,-4.9144
272,-12.1449
273,-7.8077
274,-12.7277
275,-18.4566
276,-22.0734
277,-20.63
278,-6.9911
279,-5.1293
280,1.9206
281,-0.798
282,15.4655
283,17.998
284,14.5794
285,18.1139
286,20.076
287,16.3902
288,10.587
289,5.7664
290,-1.0079
291,-5.5701
292,-5.8697
293,-26.447
294,-19.9685
295,-19.294
296,-17.8372
297,-17.668
298,-18.7826
299,-4.8684
