Time_ms,Amplitude_uV
0,1.2189
1,-4.1599
2,3.0018
3,3.7623
4,-7.8041
5,-5.2087
6,0.5114
7,-1.265
8,-0.0672
9,-3.4122
10,3.5176
11,3.1112
12,0.2641
13,4.509
14,1.87
15,-3.4372
16,1.475
17,-3.8355
18,3.5138
19,-0.1997
20,-0.7394
21,-2.7237
22,4.8902
23,-0.6181
24,-1.7133
25,-1.4085
26,2.1292
27,1.4618
28,1.6509
29,1.7233
30,8.5666
31,-1.6257
32,-2.049
33,-3.2551
34,2.4639
35,4.5159
36,-0.4558
37,-3.3606
38,-3.2979
39,2.6024
40,2.973
41,2.1726
42,-2.662
43,0.9286
44,0.4667
45,0.8748
46,3.4857
47,0.8944
48,2.7157
49,0.2703
50,1.1565
51,2.5251
52,-5.8288
53,-1.2802
54,-1.8909
55,-2.6058
56,-1.3306
57,5.0834
58,-6.4394
59,-4.547
60,-27.0316
61,-43.0447
62,-72.3611
63,-106.5761
64,-135.6201
65,-146.8223
66,-139.8548
67,-110.7588
68,-69.5588
69,-42.4338
70,-25.342
71,-12.8542
72,-6.4956
73,1.3414
74,0.7256
75,3.3001
76,-0.835
77,1.9383
78,4.4018
79,1.4837
80,5.6644
81,2.6799
82,5.8298
83,8.2721
84,8.1982
85,18.879
86,19.8624
87,27.532
88,36.1249
89,43.6911
90,53.2086
91,59.6322
92,68.4845
93,80.4552
94,84.7796
95,96.3195
96,106.8528
97,117.2672
98,130.6756
99,131.6491
100,138.0524
101,146.9598
102,140.3378
103,142.5151
104,131.5366
105,128.2548
106,117.4561
107,110.7875
108,105.4692
109,84.6197
110,82.5117
111,71.1286
112,57.6496
113,44.7629
114,42.1935
115,32.0839
116,28.4127
117,21.8274
118,23.3383
119,12.0241
120,505.705
121,7.9991
122,6.2076
123,9.2741
124,6.0615
125,3.3271
126,7.1588
127,-3.8716
128,-1.9705
129,-3.3204
130,-1.3101
131,-5.3484
132,2.6397
133,-0.8278
134,-5.8462
135,-4.0402
136,1.2671
137,3.36
138,7.9912
139,11.6579
140,1.659
141,-3.9574
142,-8.5278
143,1.071
144,-3.2517
145,-1.6614
146,-2.4484
147,-0.5632
148,4.2639
149,0.6282
150,-0.6345
151,-4.1426
152,-6.6987
153,-1.9452
154,-0.2151
155,7.0717
156,0.5211
157,3.931
158,-1.9972
159,-4.7398
160,-3.8605
161,-2.9009
162,8.5139
163,-3.2855
164,3.354
165,-3.6117
166,3.7263
167,1.5398
168,-0.6266
169,-0.1631
170,-2.6192
171,1.7843
172,-1.8199
173,-4.9024
174,-5.1118
175,0.6904
176,6.3164
177,0.64
178,-0.4746
179,1.1433
180,5.224
181,0.8775
182,-1.6437
183,4.4252
184,1.715
185,6.143
186,0.7329
187,-4.8979
188,-5.4726
189,6.6037
190,6.8947
191,-0.7181
192,-1.5327
193,5.8458
194,-4.4282
195,-3.5789
196,2.5733
197,-1.5784
198,-0.0205
199,-0.6538
200,1.3503
201,5.6299
202,0.3623
203,2.5758
204,-8.2007
205,-0.1949
206,-3.3729
207,-4.8753
208,-3.5126
209,-1.3365
210,3.6636
211,-5.3056
212,0.1225
213,-1.9367
214,-1.3107
215,4.011
216,2.1525
217,5.3496
218,-0.618
219,-2.7838
220,-0.8954
221,0.97
222,0.7063
223,-4.3376
224,0.362
225,0.9129
226,10.0699
227,7.5074
228,-3.413
229,-1.1495
230,-5.8538
231,-2.3628
232,1.2624
233,4.8234
234,-2.9163
235,-2.6166
236,-8.5892
237,-0.6507
238,-4.2497
239,-2.1178
240,-3.5074
241,-0.3771
242,-7.0309
243,-5.8682
244,8.517
245,-5.1497
246,-4.3871
247,7.3477
248,11.6203
249,-4.6863
250,-1.473
251,1.3662
252,6.9148
253,-3.9474
254,-0.9811
255,3.1094
256,1.7391
257,-1.5046
258,-0.5353
259,-5.4996
260,-0.9527
261,-1.0655
262,0.9287
263,-2.2213
264,1.8862
265,4.0509
266,0.6217
267,1.407
268,0.2126
269,0.0003
270,-2.8862
271,1.266
272,-0.3891
273,8.3727
274,6.2934
275,1.5434
276,-3.0522
277,-4.4496
278,4.7646
279,1.051
280,1.9206
281,-6.9783
282,3.7098
283,1.8177
284,-4.4417
285,-1.8861
286,1.0549
287,0.2099
288,-1.1687
289,-0.414
290,-1.0079
291,0.6103
292,5.886
293,-10.2666
294,-0.9474
295,0.706
296,1.184
297,-1.4877
298,-7.0269
299,1.312
