Time_ms,Amplitude_uV
0,1.2189
1,-4.1599
2,3.0018
3,3.7623
4,-7.8041
5,-5.2087
6,0.5114
7,-1.265
8,-0.0672
9,-3.4122
10,3.5176
11,3.1112
12,0.2641
13,4.509
14,1.87
15,-3.4372
16,1.475
17,-3.8355
18,3.5138
19,-0.1997
20,-0.7394
21,-2.7237
22,4.8902
23,-0.6181
24,-1.7133
25,-1.4085
26,2.1292
27,1.4618
28,1.6509
29,1.7233
30,8.5666
31,-1.6257
32,-2.049
33,-3.2551
34,2.4639
35,4.5159
36,-0.4558
37,-3.3606
38,-3.2979
39,2.6024
40,2.973
41,2.1726
42,-2.662
43,0.9286
44,0.4667
45,0.8748
46,3.4857
47,0.8944
48,2.7157
49,0.2703
50,1.1565
51,2.5251
52,-5.8289
53,-1.2807
54,-1.894
55,-2.6226
56,-1.4073
57,4.7846
58,-7.4315
59,-7.3538
60,-33.7985
61,-56.9469
62,-96.6992
63,-142.8844
64,-181.7775
65,-196.825
66,-186.0153
67,-147.0743
68,-93.9102
69,-56.3587
70,-32.1468
71,-15.7227
72,-7.5863
73,0.8874
74,0.4084
75,2.9167
76,-1.3885
77,1.1243
78,3.2181
79,-0.2117
80,3.2735
81,-0.6395
82,1.2926
83,2.1666
84,0.1099
85,8.3299
86,6.317
87,10.4089
88,14.8149
89,17.5816
90,21.7146
91,22.2321
92,24.7593
93,30.1278
94,27.7512
95,32.6997
96,36.9802
97,41.7168
98,50.2527
99,47.3666
100,51.0944
101,58.6324
102,52.0105
103,55.5572
104,47.2541
105,47.8319
106,41.9057
107,40.9149
108,41.8494
109,27.5913
110,32.1843
111,27.4034
112,20.2494
113,13.2688
114,16.084
115,10.774
116,11.2897
117,8.282
118,12.7891
119,3.9358
120,-0.4004
121,3.462
122,2.8882
123,6.8832
124,4.3661
125,2.1435
126,6.3453
127,-4.4221
128,-2.3372
129,-3.5608
130,-1.4653
131,-5.447
132,2.578
133,-0.8659
134,-5.8693
135,-4.054
136,1.259
137,3.3553
138,7.9885
139,11.6564
140,1.6581
141,-3.9579
142,-8.528
143,1.0709
144,-3.2517
145,-1.6614
146,-2.4484
147,-0.5632
148,4.2639
149,0.6282
150,-0.6345
151,-4.1426
152,-6.6987
153,-1.9452
154,-0.2151
155,7.0717
156,0.5211
157,3.931
158,-1.9972
159,-4.7398
160,-3.8605
161,-2.9009
162,8.5139
163,-3.2855
164,3.354
165,-3.6117
166,3.7263
167,1.5398
168,-0.6266
169,-0.1631
170,-2.6192
171,1.7843
172,-1.8199
173,-4.9024
174,-5.1118
175,0.6904
176,6.3164
177,0.64
178,-0.4746
179,1.1433
180,5.224
181,0.8775
182,-1.6437
183,4.4252
184,1.715
185,6.143
186,0.7329
187,-4.8979
188,-5.4726
189,6.6037
190,6.8947
191,-0.7181
192,-1.5327
193,5.8458
194,-4.4282
195,-3.5789
196,2.5733
197,-1.5784
198,-0.0205
199,-0.6538
200,1.3503
201,5.6299
202,0.3623
203,2.5758
204,-8.2007
205,-0.1949
206,-3.3729
207,-4.8753
208,-3.5126
209,-1.3365
210,3.6636
211,-5.3056
212,0.1225
213,-1.9367
214,-1.3107
215,4.011
216,2.1525
217,5.3496
218,-0.618
219,-2.7838
220,-0.8954
221,0.97
222,0.7063
223,-4.3376
224,0.362
225,0.9129
226,10.0699
227,7.5074
228,-3.413
229,-1.1495
230,-5.8538
231,-2.3628
232,1.2624
233,4.8234
234,-2.9163
235,-2.6166
236,-8.5892
237,-0.6507
238,-4.2497
239,-2.1178
240,-3.5074
241,-0.3771
242,-7.0309
243,-5.8682
244,8.517
245,-5.1497
246,-4.3871
247,7.3477
248,11.6203
249,-4.6863
250,-1.473
251,1.3662
252,6.9148
253,-3.9474
254,-0.9811
255,3.1094
256,1.7391
257,-1.5046
258,-0.5353
259,-5.4996
260,-0.9527
261,-1.0655
262,0.9287
263,-2.2213
264,1.8862
265,4.0509
266,0.6217
267,1.407
268,0.2126
269,0.0003
270,-2.8862
271,1.266
272,-0.3891
273,8.3727
274,6.2934
275,1.5434
276,-3.0522
277,-4.4496
278,4.7646
279,1.051
280,1.9206
281,-6.9783
282,3.7098
283,1.8177
284,-4.4417
285,-1.8861
286,1.0549
287,0.2099
288,-1.1687
289,-0.414
290,-1.0079
291,0.6103
292,5.886
293,-10.2666
294,-0.9474
295,0.706
296,1.184
297,-1.4877
298,-7.0269
299,1.312
