Time_ms,Amplitude_uV
0.0,6.1374
0.5,4.0283
1.0,-3.2377
1.5,-6.7613
2.0,-13.3404
2.5,-2.4457
3.0,10.8919
3.5,1.957
4.0,-2.5181
4.5,2.0929
5.0,-7.0243
5.5,-1.338
6.0,0.4476
6.5,-0.3875
7.0,3.5586
7.5,1.5509
8.0,3.0075
8.5,-3.0977
9.0,4.0402
9.5,7.3302
10.0,-4.3657
10.5,-3.9946
11.0,6.011
11.5,-0.861
12.0,6.3172
12.5,-1.9914
13.0,6.5477
13.5,0.5917
14.0,1.162
14.5,7.0412
15.0,-1.628
15.5,-4.235
16.0,-2.0185
16.5,2.0355
17.0,-7.0459
17.5,2.8686
18.0,-2.4245
18.5,5.1652
19.0,-10.7742
19.5,-3.5395
20.0,-7.5891
20.5,-3.718
21.0,1.1145
21.5,-0.8065
22.0,-1.1402
22.5,-0.7163
23.0,0.9152
23.5,-4.5384
24.0,3.1808
24.5,2.982
25.0,1.7327
25.5,2.5044
26.0,1.3339
26.5,9.1578
27.0,-0.3919
27.5,-1.3819
28.0,-3.3909
28.5,-4.6452
29.0,-5.6001
29.5,-3.9996
30.0,-0.3181
30.5,1.5043
31.0,0.2301
31.5,-3.4449
32.0,4.0508
32.5,3.3274
33.0,-0.7184
33.5,-2.9381
34.0,2.4679
34.5,0.8459
35.0,-6.5166
35.5,-0.3059
36.0,1.1792
36.5,-4.0486
37.0,0.8543
37.5,-6.5467
38.0,6.0128
38.5,5.6158
39.0,-1.1363
39.5,1.6355
40.0,-10.8446
40.5,-5.2036
41.0,-1.322
41.5,-4.8246
42.0,3.2148
42.5,8.9878
43.0,-5.2948
43.5,-3.7686
44.0,1.0595
44.5,7.25
45.0,-5.5007
45.5,1.1207
46.0,8.1958
46.5,-7.4329
47.0,-5.7648
47.5,-1.9062
48.0,-2.3426
48.5,3.6567
49.0,1.0875
49.5,-7.9873
50.0,1.3646
50.5,-4.6972
51.0,3.3405
51.5,4.162
52.0,-8.908
52.5,-6.084
53.0,0.1966
53.5,-2.0449
54.0,-1.0709
54.5,-5.3945
55.0,1.58
55.5,-0.0536
56.0,-4.9021
56.5,-2.3747
57.0,-8.3425
57.5,-18.2178
58.0,-17.6518
58.5,-29.7701
59.0,-28.917
59.5,-41.8064
60.0,-52.3657
60.5,-65.6357
61.0,-68.9309
61.5,-87.4414
62.0,-100.9745
62.5,-112.3836
63.0,-119.0358
63.5,-128.7379
64.0,-135.292
64.5,-139.3941
65.0,-133.0383
65.5,-142.9172
66.0,-138.9626
66.5,-133.2992
67.0,-117.6518
67.5,-104.4368
68.0,-97.9884
68.5,-88.6477
69.0,-75.9342
69.5,-57.0817
70.0,-45.245
70.5,-35.7799
71.0,-32.0589
71.5,-20.1174
72.0,-13.964
72.5,-7.9697
73.0,-0.5028
73.5,0.2592
74.0,5.2922
74.5,4.984
75.0,8.0199
75.5,11.3132
76.0,3.4809
76.5,10.0554
77.0,10.7838
77.5,11.428
78.0,14.4967
78.5,23.9477
79.0,14.8807
79.5,24.7737
80.0,14.5745
80.5,22.469
81.0,26.6384
81.5,30.5786
82.0,33.2819
82.5,35.8994
83.0,33.1154
83.5,35.0662
84.0,43.5756
84.5,41.5259
85.0,39.4206
85.5,42.9374
86.0,46.8803
86.5,56.3523
87.0,57.998
87.5,63.9017
88.0,62.574
88.5,69.2407
89.0,75.713
89.5,76.1221
90.0,84.2115
90.5,83.5449
91.0,88.7115
91.5,91.773
92.0,90.6343
92.5,100.2941
93.0,97.8371
93.5,101.7357
94.0,105.507
94.5,107.0023
95.0,109.7458
95.5,108.3755
96.0,109.479
96.5,114.1594
97.0,110.5313
97.5,115.4745
98.0,119.9279
98.5,125.1679
99.0,135.0366
99.5,132.4776
100.0,137.7516
100.5,147.5695
101.0,141.555
101.5,147.0049
102.0,139.219
102.5,141.6935
103.0,137.2915
103.5,138.9497
104.0,143.2112
104.5,130.6389
105.0,139.3077
105.5,137.2503
106.0,132.1699
106.5,126.8074
107.0,131.9096
107.5,127.2732
108.0,128.5817
108.5,125.3291
109.0,129.9633
109.5,119.043
110.0,112.7317
110.5,115.2273
111.0,112.3726
111.5,114.3535
112.0,108.7562
112.5,103.2854
113.0,104.8796
113.5,89.5085
114.0,88.5036
114.5,83.7121
