Time_ms, Amplitude_uV
0.000,0.247
0.500,-0.071
1.000,0.320
1.500,0.756
2.000,-0.127
2.500,-0.133
3.000,0.764
3.500,0.342
4.000,-0.300
4.500,0.171
5.000,-0.386
5.500,-0.465
6.000,-0.224
6.500,-1.462
7.000,-1.593
7.500,-1.322
8.000,-1.970
8.500,-1.871
9.000,-3.227
9.500,-4.445
10.000,-4.237
10.500,-6.630
11.000,-8.393
11.500,-11.458
12.000,-13.785
12.500,-16.704
13.000,-21.074
13.500,-24.538
14.000,-29.714
14.500,-34.654
15.000,-40.226
15.500,-44.629
16.000,-51.269
16.500,-57.417
17.000,-61.848
17.500,-67.808
18.000,-71.421
18.500,-76.060
19.000,-78.388
19.500,-79.249
20.000,-79.515
20.500,-79.226
21.000,-77.709
21.500,-75.121
22.000,-72.114
22.500,-67.364
23.000,-62.250
23.500,-56.069
24.000,-50.744
24.500,-46.028
25.000,-39.284
25.500,-34.144
26.000,-29.108
26.500,-23.678
27.000,-19.130
27.500,-15.317
28.000,-12.817
28.500,-9.629
29.000,-6.815
29.500,-4.388
30.000,-3.350
30.500,-1.727
31.000,-0.950
31.500,0.054
32.000,1.963
32.500,3.039
33.000,3.068
33.500,4.327
34.000,4.744
34.500,5.040
35.000,6.452
35.500,8.111
36.000,8.605
36.500,10.933
37.000,10.628
37.500,14.370
38.000,16.189
38.500,18.236
39.000,20.594
39.500,21.514
40.000,24.065
40.500,25.702
41.000,27.344
41.500,27.275
42.000,28.070
42.500,29.353
43.000,31.551
43.500,33.242
44.000,35.389
44.500,39.120
45.000,42.736
45.500,47.529
46.000,51.433
46.500,56.541
47.000,61.382
47.500,65.459
48.000,70.540
48.500,74.259
49.000,77.464
49.500,80.432
50.000,82.911
50.500,86.707
51.000,90.502
51.500,94.666
52.000,100.131
52.500,106.347
53.000,113.767
53.500,120.208
54.000,127.951
54.500,135.617
55.000,142.348
55.500,150.481
56.000,157.036
56.500,163.987
57.000,167.699
57.500,172.446
58.000,176.491
58.500,180.117
59.000,185.683
59.500,190.284
60.000,195.576
60.500,200.479
61.000,207.801
61.500,212.844
62.000,220.376
62.500,227.583
63.000,232.027
63.500,237.687
64.000,242.724
64.500,246.313
65.000,248.889
65.500,252.116
66.000,253.445
